data,Football,Casual,Fishing,Quarter
2016-01-31,60969.9097,132464.1745,102138.9887,Q1
2016-04-30,195129.284,271076.68,322521.7772,Q2
2016-07-31,241413.6984,308731.6246,299226.8426,Q3
2016-10-31,238983.4412,299875.17,312213.5037,Q4
2017-01-31,349951.17220000003,355519.899,424906.6661,Q1
2017-04-30,258261.6617,284202.8525,377567.3258,Q2
2017-07-31,240408.8281,316910.0158,392269.23785,Q3
2017-10-31,272200.3291,319821.3767,445614.2796,Q4
2018-01-31,317492.15995,385762.237,404727.6513,Q1
2018-04-30,251710.5318,280280.385,385891.7951,Q2
2018-07-31,411879.2694333333,370535.6291,380105.4999,Q3
2018-10-31,533009.2509,284193.08505,358508.8213,Q4
2019-01-31,422851.35095,341927.656,368893.8302,Q1
2019-04-30,344112.2608,192072.03085,334608.2222,Q2
2019-07-31,499827.6745,240105.70675,306549.5391,Q3
2019-10-31,595226.9988,204364.06725,263866.07170000003,Q4
2020-01-31,370428.7034,200309.8734,267597.3202,Q1
2020-04-30,196901.5083,252146.5840833333,380051.0252,Q2
2020-07-31,236152.0784,292043.9053,407263.07895,Q3
2020-10-31,490054.7729,212518.236,309344.16555,Q4
2021-01-31,235907.2933,284193.147,385314.3798,Q1
2021-04-30,169536.68585,216646.3775,346650.8479,Q2
2021-07-31,225460.9539,210928.2273,282785.0648,Q3
2021-10-31,276922.71565,202614.909,297693.291,Q4
2022-01-31,265095.4075,193601.6796,296636.7957,Q1
2022-04-30,214356.3338,139617.0041,235128.8709,Q2
2022-07-31,216999.59575,124347.7333,247300.7243,Q3
2022-10-31,356780.2511,95414.46075,236134.2368,Q4
2023-01-31,199002.398,113872.4013,170906.2145,Q1
