data,Football,Casual,Fishing
2016-01-31,60969.909700000004,132464.1745,102138.9887
2016-04-30,195129.284,271076.68,322521.7772
2016-07-31,241413.6984,308731.6246,299226.8426
2016-10-31,238983.4412,299875.17,312213.5037
2017-01-31,349951.17220000003,355519.899,424906.6661
2017-04-30,258261.6617,284202.8525,377567.3258
2017-07-31,240408.8281,316910.0158,392269.23785
2017-10-31,272200.3291,319821.3767,445614.2796
2018-01-31,317492.15995,385762.23699999996,404727.6513
2018-04-30,251710.5318,280280.385,385891.7951
2018-07-31,411879.2694333333,370535.6291,380105.4999
2018-10-31,533009.2509,284193.08505,358508.8213
2019-01-31,422851.35095,341927.656,368893.8302
2019-04-30,344112.2608,192072.03085,334608.2222
2019-07-31,499827.6745,240105.70675,306549.5391
2019-10-31,595226.9988,204364.06725,263866.07170000003
2020-01-31,370428.7034,200309.8734,267597.3202
2020-04-30,196901.5083,252146.58408333332,380051.0252
2020-07-31,236152.0784,292043.9053,407263.07895
2020-10-31,490054.7729,212518.236,309344.16555
2021-01-31,235907.2933,284193.147,385314.3798
2021-04-30,169536.68585,216646.3775,346650.8479
2021-07-31,225460.9539,210928.2273,282785.0648
2021-10-31,276922.71565,202614.90899999999,297693.291
2022-01-31,265095.4075,193601.6796,296636.7957
2022-04-30,214356.3338,139617.0041,235128.8709
2022-07-31,216999.59575,124347.73329999999,247300.7243
2022-10-31,356780.2511,95414.46075,236134.23679999998
2023-01-31,199002.398,113872.4013,170906.2145
